city,code,air_name,air_pinyin
弗利,FRL,,FORLIL.RIDOLFI
热那亚,GOA,,GENOA
米兰,MIL,,MILAN
那布勒斯,NAP,,NAPLES
比萨,PSA,,PISA
维罗纳,VRN,,VERONA
卢布尔雅那,LJU,卢布尔雅那机场,LJUBLJANABRNIK
堪萨斯城,MKC,堪萨斯城机场,KANSASCITYDOWNTOWN
新德里,DEL,新德里国际机场,NEW DELHI GANDHI AIR
及达,JED,及达机场,JEDDAH
产迪加,IXC,产迪加机场,CHANDIGARH
阿伯丁,ABZ,阿伯丁机场,ABERDEEN
西雅图,SEA,西雅图机场,SEATTLE
金斯敦,KIN,金斯敦机场,KINGSTON
产迪加,IXC,产迪加机场,CHANDIGARH
克利夫兰,CLE,克利夫兰机场,HOPKINS
槟榔峙,PEN,槟榔峙机场,PENANG
哈拉雷,HRE,哈拉雷机场,HARARE
巴塞尔,BSL,巴塞尔机场,BASLE
沙巴,BKI,沙巴机场,KOTA KINABALU
凡城,VAN,凡城机场,VAN
班加罗尔,BLR,班加罗尔机场,BANGALORE
伦敦,LON,伦敦机场,LONDON CITY AIRPORT
拉合尔,LHE,拉合尔机场,LAHORE AIRPORT
塞班岛,SPN,塞班岛机场,SAIPAN
吉大港,CGP,吉大港机场,CHITTAGONGPATENGA
斯维尔德洛夫斯克,SVX,斯维尔德洛夫斯克机场,SVERDLOVSK
斯特拉斯堡,SXB,斯特拉斯堡机场,STRASBOURG
梅斯,MZM,梅斯机场,METZ
永州,LLF,永州零陵机场,YONGZHOU
圣彼得堡,LED,圣彼得堡机场,SHENGBIDEBO
萨拉热窝,SJJ,萨拉热窝机场,SARAJEVO INTERNATION
阿纳 ,AAA,阿纳 ,ANAA
安曼 ,ADJ,安曼 ,AMMAN
布宜诺斯艾利斯,AEP,布宜诺斯艾利斯,BUENOSAIRES
暹粒,REP,暹粒,SIEMREAP
阿拉伯里,AAB,,ARRABURY
克拉克,CRK,克拉克机场,CLARKAIRBASE
阿里什,AAC,,ALARISH
安纳巴,AAE,,ANNABA
阿巴拉契科拉,AAF,,APALACHICOLAMUNICIPA
阿拉努卡环礁,AAK,,ARANUKA
奥尔堡,AAL,,AALBORG
马拉马拉,AAM,,MALAMALA
艾因,AAN,,ALAIN
阿纳科,AAO,,ANACO
休斯顿,AAP,安德劳小飞机场,"HOUSTON,TX"
阿纳帕,AAQ,,ANAPA
奥胡斯,AAR,,AARHUS
APALAPSILI,AAS,,APALAPSILI
亚骚,AAU,,ASAU
安拉,AAV,,ALAH
阿拉沙,AAX,,ARAXA
盖达,AAY,,ALGHAYDAH
阿巴坎,ABA,,ABAKAN
阿巴丹,ABD,,ABADAN
阿伦敦,ABE,,ALLENTOWN
阿拜昂环礁,ABF,,ABAIANGATOLL
阿宾登,ABG,,ABINGDON
